User handle,Date of tweet,Tweet Data
CristinaProiect,13-04-2017,http://bit.ly/1RN5Y1q  Business with #ebooks! Make #money online from your home!pic.twitter.com/aMpkqfUSVs
HenryWestesen,13-04-2017,If you're a business student and you don't know this book back to front, drop out pic.twitter.com/QlgteHwogu
PBR,13-04-2017,. @Triplett_Matt is taking care of business. #PBRpic.twitter.com/s5qGtpTVgl
business,13-04-2017,Dollar slides after Trump tells @WSJ it's "getting too strong" https://bloom.bg/2p9lpst pic.twitter.com/vq3A8vFfsy
business,13-04-2017,United's Oscar Munoz goes from savior to man in the hot seat really fast https://bloom.bg/2p9riWr pic.twitter.com/jJOixFqqp9
chicagotribune,13-04-2017,April 13, 1992: 1 leak, 124 million gallons of water, $1 billion in damages and lost business. http://trib.in/2p9tbm0 pic.twitter.com/Y4WqLHNsCt
TurkishAirlines,13-04-2017,With the "Living Garden" concept in our Business Class, you will feel like in a flower garden in the sky. pic.twitter.com/xlhAxjrpDz
business,13-04-2017,Francois Hollande says in a video he would prefer to be succeeded by a man https://bloom.bg/2p9v7uY pic.twitter.com/9R8rudLMWN
FamousInLoveTV,13-04-2017,This industry is a messy business. Check out this SNEAK PEEK from the very first episode of #FamousInLove NOW.pic.twitter.com/wYVvVJ5FDu
jdavisss_,13-04-2017,i literally just mind my own business. if i see a subject that i don't agree with i just stay quiet. arguing does not change anything
Manishshaarma,13-04-2017,No question on Cristiano's talent. He is the best in business #???????_??????? #?????_?????_????_?????
business,13-04-2017,Dubai-based Emirates mocks United Airlines’ best-known advertising slogan https://bloom.bg/2p9mnVt pic.twitter.com/PwBx6pJcbX
azuread,13-04-2017,#AzureAD B2B collaboration GA! Protect your business, protect your partnerships https://aka.ms/b2bmechanics pic.twitter.com/X2Q61OIIwJ
beardcare_,13-04-2017,I know I am new here . . . but my new #BeardCare business needs this. I #MzanziFolloTrain #MzansiFolloTrain
Pogofilm,13-04-2017,If you see us around be sure to grab one of our business cards! #MalvernHillsHour #midlandshourpic.twitter.com/obL0kl32jH
KephaPrince,13-04-2017,#MzanziFolloTrain @KephaPrince Business as usual Like Retweet Let's gain
business,13-04-2017,Fired banker sues Credit Suisse after rogue-trader case collapses https://bloom.bg/2ozEar2 pic.twitter.com/4Y8wdPtrPg
Pwettybee09,13-04-2017,Register your business name and get your certificate within two weeks...pls kindly RT someone might need this
business,13-04-2017,Bezos says artificial intelligence will fuel Amazon's success https://bloom.bg/2p9cR4C pic.twitter.com/0Jq5fn6zCT
Sports_HQ,13-04-2017,Positive thinking is the key to success in business, education, pro football, anything that you can mention. -Ron Jaworski
